,shopid,itemid,rating_star,cmt,Sentiment,Predicted Sentiment,B,G,N,Score
99,4937640,26495086,3, Product quality is ok,G,G,0.0454895968932,0.848255058326,0.10625534478,0.8
100,4149345,15247475,0,still avail?,N,N,0.130763929124,0.154225223202,0.715010847674,0.02
101,4149345,13432637,5, Excellent service by seller,G,G,0.0209948778382,0.964359510905,0.0146456112572,0.94
102,4937640,103148652,5,Nice colors,G,G,0.0997461486792,0.520062428415,0.380191422906,0.42
103,4149345,13432277,0,@jforjacob yes,N,N,0.198385412625,0.18381742873,0.617797158646,-0.01
104,4149345,14481902,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.,G,G,0.0430727684684,0.841084026006,0.115843205525,0.8
105,4149345,16430251,4," Great Item Quality, item came as pictured. Delivery took quite awhile though.",G,G,0.13885005903,0.782222307796,0.0789276331744,0.64
106,4937640,185919394,2,my baby is going to outgrow this baby harness in about a month! i thought that it might be too small.,B,B,0.496210533858,0.186212270252,0.31757719589,-0.31
107,4149345,13426987,5,Its nicely packed and the brush is very smooth. Can't wait to try it! Thank you so much! :) ,G,G,0.1389583062,0.800640045225,0.0604016485746,0.66
108,4937640,103791202,5,Ok. ,N,N,0.00934685891262,0.46010591714,0.530547223948,0.45
109,4149345,49780250,1,"Why is the suction not strong like you've suggested? It can barely stick on the wall!  That's for the soap holder. 

For the toothbrush the suction doesn't even stick. It's so lousy. I 10/10 recommend you not to buy from them. The products is bad. 
Waiting time is bad too. ",B,B,0.53968525664,0.200435903567,0.259878839793,-0.34
110,4937640,22563813,5,Great seller n great sev . Highly recommanded to all buyer n seller.,G,G,0.0714479173898,0.862962089485,0.0655899931256,0.79
111,4149345,15719000,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.,G,G,0.0430727684684,0.841084026006,0.115843205525,0.8
112,4149345,185985896,3, Product quality is ok.,G,G,0.0454895968932,0.848255058326,0.10625534478,0.8
113,4937640,112156353,1,I still didn't receive. How to give feedback ? ,B,B,0.677122312175,0.182695508724,0.140182179101,-0.49
114,4149345,15737271,3,"Very cheap but rather don't buy , no effect at all , foaming . Smell like toothpaste & taste a bit like it as well . Like minty and bland . ",G,B,0.390592537125,0.236549027805,0.37285843507,-0.15
115,4149345,42463139,2, Poor product quality,B,B,0.943041524314,0.0474477795634,0.00951069612263,-0.9
116,4149345,13433787,5,very worth the price!! acrylic is thick and of good quality! :) delivery very long though,G,G,0.0933727096548,0.829110307841,0.0775169825037,0.74
117,4149345,14482801,5,Extremely fast delivery. Received with 3 days after ordering. In good condition too.,G,G,0.0304711028654,0.885417731889,0.0841111652454,0.85
118,4149345,26966394,1,Fast cooking method but not tasty. ,B,G,0.183566621298,0.417640275376,0.398793103326,0.23
119,4149345,15247463,5,Useful!!!! :),G,G,0.354477594209,0.439658672311,0.20586373348,0.09
120,4149345,15719514,5,"Received this afternoon, delivered in person by postman, wrapped nicely, items are in good condition. I hv bn trying to do some stretching too: great 😉. Thank you",G,G,0.0400811138948,0.832949170961,0.126969715144,0.79
121,4149345,361724643,1,Very poor product quality. Please do not buy. ,B,B,0.8207339081,0.0765521543582,0.102713937542,-0.74
122,4149345,14477372,4,"the support of the brush head is quite flimsy, seems like will break off if just a little bit more force is applied. but the brush is dense and quite soft",G,G,0.324357293868,0.366172348125,0.309470358007,0.04
123,4937640,46524220,0,@m4lev0lent dearit is make of natural resources ,N,N,0.210423553673,0.286335129249,0.503241317078,0.08
124,4149345,15250083,4,"Make up brushes were packaged well and received quite fast, but they were kind of smaller than what I expected oops",G,G,0.252773115956,0.687518993969,0.0597078900758,0.43
125,4149345,15719126,5,Items well packed & received. Thanks! ,G,G,0.136253819337,0.782236867325,0.0815093133389,0.65
126,4149345,15247462,5,Items took sometime to arrive but received in good condition! ,G,G,0.135517135531,0.801332839998,0.0631500244708,0.67
127,4937640,26495034,3,Much smaller than expected!!,G,G,0.317810927207,0.533643635912,0.148545436881,0.22
128,4149345,42463218,1,Can't even vacuum anything ,B,B,0.525385696755,0.205276964685,0.269337338561,-0.32
129,4149345,232365557,4,"One of the eyeshadow cracked during delivery :(( But overall, eyeshadows are of a great pigment & is worth the price paid for 88 colours! I mean where do you get such prices at retail outlets right? 😲 Oh, not to mention, its a combination of both matte and shimmer eye shadows :)",G,G,0.132270250632,0.562563215266,0.305166534102,0.43
130,4149345,16430420,5,Items well packed & received. Thanks! ,G,G,0.136253819337,0.782236867325,0.0815093133389,0.65
131,4149345,51485271,5, Excellent product  quality,G,G,0.0827605734325,0.9080247962,0.00921463036698,0.83
132,4149345,51485265,1,I actually I don't want to give any stars because I have not receive my item till now. I don't understand why it shows that my order is completed,B,B,0.665611836473,0.133027856593,0.201360306934,-0.53
133,4149345,42462741,5, Excellent Item Quality,G,G,0.0783745021882,0.906422306174,0.0152031916374,0.83
134,4149345,16442329,5,love this! so cool,G,G,0.0658402296512,0.468826121768,0.465333648581,0.4
135,4937640,115175107,4, Good service by seller,G,G,0.00892209848275,0.974490207645,0.0165876938721,0.97
136,4937640,104304937,1," Poor product quality,open up to a broken palette with a shade broke into half.",B,B,0.873587354384,0.0758153244915,0.0505973211241,-0.8
137,4149345,46508789,5,Great buy!,G,G,0.0415836487504,0.671659644207,0.286756707043,0.63
138,4149345,16443106,4,Smaller than expected,B,G,0.317810927207,0.533643635912,0.148545436881,0.22
139,4149345,30004477,5,Awesome Buy!,G,G,0.113817535822,0.531029709774,0.355152754404,0.42
140,4149345,46575090,0,hi. is ink provided?,N,N,0.15204888821,0.128216378979,0.719734732811,-0.02
141,4149345,85835612,3,It's pretty good and it works but very very difficult to adjust,G,G,0.25239437392,0.627681999425,0.119923626656,0.38
142,4149345,206469974,3,"Delivery was quick. But took me 2 days to charge the portable using the solar panel, died at one charge",G,G,0.294455574807,0.427375405185,0.278169020008,0.13
143,4937640,44564393,3, Product quality is ok,G,G,0.0454895968932,0.848255058326,0.10625534478,0.8
144,4937640,72487058,5,Great quality! Highly recommended!,G,G,0.0709958617495,0.901076963995,0.0279271742556,0.83
145,4937640,26495649,5,Long delivery,B,N,0.199175415833,0.281646189383,0.519178394783,0.08
146,4937640,17704918,5,"Products r very cheap, took a bit long to come and was missing one of my items. Seller was helpful and helped me track the item. Good service ! ",B,G,0.311916443179,0.650182627488,0.0379009293331,0.34
147,4149345,13426430,1,"Seller clearly does no idea what she is selling, was int the lipstick and asked why cant i choose any of the option . And then she told me i will get all of the 12 lipstick . Then i ask if i will get all the same color she told me i will get one lipstick. ",B,B,0.443901104533,0.202404043797,0.35369485167,-0.24
148,4149345,49804703,0,White and blue,N,N,0.28731416761,0.241136671818,0.471549160572,-0.05
149,4149345,15251326,0,Hi how long does this need to ship? :),N,N,0.08139744007,0.0901754210411,0.828427138889,0.01
150,4149345,17707557,4,Worth the price! Recommended. ,G,G,0.0471951277382,0.822034532633,0.130770339628,0.77
151,4149345,43856894,3,One of the colour is broken unexpectedly. But overall the colour is satisfying. ,G,G,0.283074464523,0.405699465966,0.311226069512,0.12
152,4149345,13434286,3,Nt eu plug. ,G,N,0.204989642741,0.388380663968,0.406629693291,0.18
153,4149345,49790578,1, Very poor product quality. Sheer & see through. Very small size. More suitable for kids. Won't recommend. ,B,B,0.74618875505,0.209529025509,0.0442822194409,-0.54
154,4149345,13432519,1,"I did not receive the product! And its thru a registered mail somemore. Dont understand how the courier company can ""sucessfully delivered"" when I did not sign on any received slip or receipt.",B,B,0.551542264688,0.219718821276,0.228738914035,-0.33
155,4937640,16804489,3,"for its price its good, got some vanilla smell 
however if you're looking for a good quality one not recommended as it isnt rly pigmented. havent tried it yet, but it is okay for its price :-) with and without flash . however, it is a mini version which isnt stated in description",G,G,0.217378497733,0.48130331565,0.301318186617,0.26
156,4149345,367906857,3,Products came as described but hopefully shipper will pack the product in more secured packing.,G,G,0.192956157212,0.698044096419,0.10899974637,0.51
157,4149345,237463508,3,Item come in China pin. Have to buy additional converter to able to use. ,G,G,0.226642142537,0.393556730683,0.37980112678,0.17
158,4937640,17701415,4,okay for its price :-),G,N,0.0577119151599,0.348165838493,0.594122246347,0.29
159,4937640,17704457,5,"Seller send wrong colour in the first place and after communicate with her, she resend the correct colour. Thumb up! Will purchase more from seller of need. Thk u",G,G,0.242629446412,0.453913049751,0.303457503836,0.21
160,4937640,104771942,5, Excellent service by seller,G,G,0.0209948778382,0.964359510905,0.0146456112572,0.94
161,4149345,13433484,1,Box very dented>.< ,B,B,0.619658542746,0.251134621917,0.129206835338,-0.37
162,4937640,18986250,5,Good item. ,G,G,0.0229129078606,0.897726701036,0.0793603911032,0.87
163,4937640,24088196,5,Soft 👍👍,N,N,0.225421267291,0.255011489355,0.519567243354,0.03
164,4937640,22563832,5,"Good item but the rotate is not that strong, guess is operate by battery. ",B,B,0.52209350077,0.326143950828,0.151762548401,-0.2
165,4937640,24095331,3,Very small. More suitable for undereye and small areas. Does not expand much when wet. Sponge is kind of hard and has a strong chemical smell. ,G,B,0.472326351715,0.23624438371,0.291429264575,-0.24
166,4937640,206979520,0,"@tarekmd963 dear you can contact me on chat ,i will send a picture to you about banking ",N,N,0.103611151835,0.105861599771,0.790527248393,0.0
167,4937640,104771942,4,does not get my blackheads removed but it makes my skin feels smoother after application!,G,G,0.269059460043,0.423841341205,0.307099198752,0.15
168,4149345,86741665,0,"@asdqwer33 sorry , dear , it has not supported win10 ",N,N,0.133241284247,0.0927237706633,0.774034945089,-0.04
169,4149345,13419870,5,Friendly seller! :D will buy again in future ,G,G,0.144537579937,0.48806563715,0.367396782913,0.34
170,4937640,85958223,5,Haven try it but received it in good condition!,G,G,0.0367120383562,0.820708938552,0.142579023092,0.78
171,4937640,315187553,1, Very poor product quality Very poor delivery speed,B,B,0.949528859044,0.042458310969,0.00801282998659,-0.91
172,4937640,17705128,5,👀👍,N,N,0.267883895558,0.286685708698,0.445430395744,0.02
173,4149345,60615728,0,Can choose color?,N,N,0.166741499759,0.212765558208,0.620492942033,0.05
174,4937640,35279758,3,Feels more plastic than silicone. Slightly bigger than I expected. ,G,G,0.155298440676,0.570239212718,0.274462346606,0.41
175,4937640,18945556,5,"Nice lipstick! Just that the colour isn't as pigmented. For 90cents, it's great :)",N,G,0.251468221188,0.532808178143,0.215723600669,0.28
176,4149345,16432635,5,fast delivery. Item it's good and worth it. Will buy more it needed thanks,G,G,0.00749373675993,0.849343698407,0.143162564833,0.84
177,4149345,13431702,4,Not bad.. ,N,N,0.265248918763,0.0927318170873,0.642019264149,-0.17
178,4149345,16443820,5,Very cheap compare to shop. Thanks !,G,G,0.087152719025,0.681045749476,0.2318015315,0.59
179,4149345,21419979,5,"Very satisfied with the wire. Even though it took more than a week to received the item, it's something worth the wait for the Low selling price. ",G,G,0.132590023401,0.663647025969,0.20376295063,0.53
180,4149345,111820963,4,Express shipping was fast. Product was good,G,G,0.0922969858704,0.858971128203,0.0487318859263,0.77
181,4149345,16742897,1,"Bought 2 sets, both give different n very wrong readings! Cannot calibrate so money wasted.",B,B,0.624862599834,0.245586086282,0.129551313884,-0.38
182,4149345,30004458,5,Delivery time acceptable. 100% legit product good quality RGB lights. Bright and good. Recommend! ,G,G,0.0947184187461,0.799274434866,0.106007146388,0.7
183,4149345,17708159,3,3 pcs of the dotting tool of each ends have the same size compared to the picture,G,N,0.151093140258,0.379630728289,0.469276131453,0.23
184,4937640,54968233,3,Wrong color..,G,N,0.33237442642,0.289703724591,0.377921848988,-0.04
185,4149345,60228533,3, Good Value,G,G,0.0105105870927,0.942326133423,0.0471632794841,0.93
186,4937640,24088090,4,Bowl a bit too small! ,B,B,0.43336827918,0.1971681985,0.36946352232,-0.24
187,4149345,49780104,5," Excellent service by seller, and product is good quality 👌🏻",G,G,0.00972306948299,0.988113252616,0.0021636779012,0.98
188,4149345,57201880,5, Excellent Overall Service,G,G,0.0179447576894,0.848557508763,0.133497733548,0.83
189,4149345,13433484,3,Received in good order.,G,G,0.0861734649345,0.710817052716,0.203009482349,0.62
190,4149345,16432294,3,received. .. after long long time...,G,N,0.294604925268,0.239575136765,0.465819937968,-0.06
191,4149345,66179935,0,Hi! Will a Samsung Note 5 fit in that VR box?,N,N,0.209323440776,0.161099867675,0.629576691549,-0.05
192,4937640,26495147,4,Cute. But brush was a bit too rough and stiff for my liking,N,G,0.270991687463,0.407443141581,0.321565170956,0.14
193,4937640,16806891,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G,G,0.0336563271252,0.892673846397,0.0736698264775,0.86
194,4937640,19379090,3,The product doesn't have Brush Egg embedded on it,G,G,0.399729739199,0.504626732958,0.0956435278433,0.1
195,4937640,19346757,2,looked a lot bigger and thicker than i expected,B,G,0.263210816644,0.512485883525,0.224303299832,0.25
196,4937640,17703338,1," Very poor product quality
No pigment at all ",B,B,0.871649963549,0.118242336246,0.0101077002051,-0.75
197,4937640,18981664,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G,G,0.0336563271252,0.892673846397,0.0736698264775,0.86
198,4937640,18986068,3," Product quality is ok Delivery time as expected Service by seller is ok
",G,G,0.0141742525749,0.911422895953,0.0744028514725,0.9
199,4937640,115574611,0,@sg4801_46377 dear we are shipping from China,N,N,0.0633683065767,0.129460952443,0.80717074098,0.07
200,4937640,369621648,1,I nvr received it. ☹️,B,B,0.569979207017,0.197679733071,0.232341059912,-0.37
201,4149345,14479925,5,Item well received..,N,B,0.57023534982,0.313114694366,0.116649955814,-0.26
202,4937640,18982883,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G,G,0.0336563271252,0.892673846397,0.0736698264775,0.86
203,4937640,18983179,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  ,G,G,0.0336563271252,0.892673846397,0.0736698264775,0.86
204,4149345,14479774,5,received without any cracks or defects. well wrapped up in box & foam to protect :) good buy! ,G,G,0.371667315415,0.44249745148,0.185835233105,0.07
205,4149345,14479774,5, Excellent Value,G,G,0.025191141736,0.93583760633,0.0389712519339,0.91
206,4149345,42089916,1," Very poor product quality, only the light works, not the mist. ",B,B,0.829970074079,0.138146218485,0.0318837074361,-0.69
207,4149345,83799685,5, Excellent Item Quality Excellent Value,G,G,0.0299933685345,0.957364372496,0.0126422589693,0.93
208,4937640,24095331,4,Product good but had a smell,N,G,0.148584441014,0.637614247876,0.21380131111,0.49
209,4937640,18982883,4,Delivery took way too long.. ,B,N,0.311681034907,0.306907136447,0.381411828645,0.0
210,4937640,24095270,0,"@oelleoeeling Thank you, welcome shopping here again~",N,N,0.0707659322575,0.233068466124,0.696165601619,0.16
211,4149345,39575873,0,"@galerimartha dear ,  we have not the video , we can give the instruction to you ",N,N,0.118580184214,0.143931133405,0.737488682381,0.03
